jd_id,title,category,min_experience,required_skills,jd_text
J0013,Finance Manager,Finance,1,"[""Accounting"", ""Auditing"", ""Forecasting"", ""QuickBooks"", ""Excel"", ""Risk Management""]","Finance Manager at Sundial HR Group

We are looking for a Finance Manager to join our Finance team. The ideal candidate has at least 1 years of relevant experience.

Required Skills: Accounting, Auditing, Forecasting, QuickBooks, Excel, Risk Management

Responsibilities include applying the above skills to real-world finance problems and collaborating with cross-functional teams."
J0014,Site Reliability Engineer,DevOps,5,"[""Jenkins"", ""Kubernetes"", ""Docker"", ""Azure"", ""GCP"", ""CI/CD""]","Site Reliability Engineer at BluePeak Solutions

We are looking for a Site Reliability Engineer to join our DevOps team. The ideal candidate has at least 5 years of relevant experience.

Required Skills: Jenkins, Kubernetes, Docker, Azure, GCP, CI/CD

Responsibilities include applying the above skills to real-world devops problems and collaborating with cross-functional teams."
J0015,HR Executive,Human Resources,0,"[""Employee Relations"", ""Payroll"", ""HRIS"", ""Recruitment"", ""Labor Law"", ""Talent Acquisition""]","HR Executive at Falconbyte

We are looking for a HR Executive to join our Human Resources team. The ideal candidate has at least 0 years of relevant experience.

Required Skills: Employee Relations, Payroll, HRIS, Recruitment, Labor Law, Talent Acquisition

Responsibilities include applying the above skills to real-world human resources problems and collaborating with cross-functional teams."
J0016,Machine Learning Engineer,Data Science,3,"[""Statistics"", ""Natural Language Processing"", ""TensorFlow"", ""SQL"", ""PyTorch""]","Machine Learning Engineer at Verdant Analytics

We are looking for a Machine Learning Engineer to join our Data Science team. The ideal candidate has at least 3 years of relevant experience.

Required Skills: Statistics, Natural Language Processing, TensorFlow, SQL, PyTorch

Responsibilities include applying the above skills to real-world data science problems and collaborating with cross-functional teams."
J0017,Cloud Infrastructure Engineer,DevOps,2,"[""GCP"", ""Azure"", ""Docker"", ""CI/CD"", ""Linux""]","Cloud Infrastructure Engineer at Nimbus Systems

We are looking for a Cloud Infrastructure Engineer to join our DevOps team. The ideal candidate has at least 2 years of relevant experience.

Required Skills: GCP, Azure, Docker, CI/CD, Linux

Responsibilities include applying the above skills to real-world devops problems and collaborating with cross-functional teams."
J0018,Talent Acquisition Specialist,Human Resources,0,"[""Talent Acquisition"", ""Payroll"", ""Labor Law"", ""HRIS"", ""Performance Management""]","Talent Acquisition Specialist at Verdant Analytics

We are looking for a Talent Acquisition Specialist to join our Human Resources team. The ideal candidate has at least 0 years of relevant experience.

Required Skills: Talent Acquisition, Payroll, Labor Law, HRIS, Performance Management

Responsibilities include applying the above skills to real-world human resources problems and collaborating with cross-functional teams."
J0019,Full Stack Developer,Web Development,1,"[""Next.js"", ""React"", ""Node.js"", ""MongoDB"", ""HTML"", ""REST API"", ""Express.js""]","Full Stack Developer at Falconbyte

We are looking for a Full Stack Developer to join our Web Development team. The ideal candidate has at least 1 years of relevant experience.

Required Skills: Next.js, React, Node.js, MongoDB, HTML, REST API, Express.js

Responsibilities include applying the above skills to real-world web development problems and collaborating with cross-functional teams."
J0020,DevOps Engineer,DevOps,2,"[""Terraform"", ""Kubernetes"", ""Ansible"", ""GCP"", ""CI/CD""]","DevOps Engineer at Corestack Labs

We are looking for a DevOps Engineer to join our DevOps team. The ideal candidate has at least 2 years of relevant experience.

Required Skills: Terraform, Kubernetes, Ansible, GCP, CI/CD

Responsibilities include applying the above skills to real-world devops problems and collaborating with cross-functional teams."
J0021,DevOps Engineer,DevOps,2,"[""Terraform"", ""Ansible"", ""Jenkins"", ""Azure"", ""AWS"", ""Linux"", ""Docker"", ""CI/CD""]","DevOps Engineer at Novatrail Consulting

We are looking for a DevOps Engineer to join our DevOps team. The ideal candidate has at least 2 years of relevant experience.

Required Skills: Terraform, Ansible, Jenkins, Azure, AWS, Linux, Docker, CI/CD

Responsibilities include applying the above skills to real-world devops problems and collaborating with cross-functional teams."
J0022,Data Scientist,Data Science,2,"[""Scikit-learn"", ""Data Visualization"", ""Natural Language Processing"", ""NumPy"", ""SQL"", ""Statistics""]","Data Scientist at Harborline Financial

We are looking for a Data Scientist to join our Data Science team. The ideal candidate has at least 2 years of relevant experience.

Required Skills: Scikit-learn, Data Visualization, Natural Language Processing, NumPy, SQL, Statistics

Responsibilities include applying the above skills to real-world data science problems and collaborating with cross-functional teams."
J0023,Talent Acquisition Specialist,Human Resources,1,"[""HRIS"", ""Onboarding"", ""Talent Acquisition"", ""Performance Management"", ""Labor Law"", ""Employee Relations"", ""Payroll"", ""Recruitment""]","Talent Acquisition Specialist at Trailhead Digital

We are looking for a Talent Acquisition Specialist to join our Human Resources team. The ideal candidate has at least 1 years of relevant experience.

Required Skills: HRIS, Onboarding, Talent Acquisition, Performance Management, Labor Law, Employee Relations, Payroll, Recruitment

Responsibilities include applying the above skills to real-world human resources problems and collaborating with cross-functional teams."
J0024,Data Analyst,Data Science,5,"[""Data Visualization"", ""NumPy"", ""Deep Learning"", ""Python"", ""Statistics"", ""Natural Language Processing""]","Data Analyst at Novatrail Consulting

We are looking for a Data Analyst to join our Data Science team. The ideal candidate has at least 5 years of relevant experience.

Required Skills: Data Visualization, NumPy, Deep Learning, Python, Statistics, Natural Language Processing

Responsibilities include applying the above skills to real-world data science problems and collaborating with cross-functional teams."
J0025,Talent Acquisition Specialist,Human Resources,1,"[""Employee Relations"", ""Labor Law"", ""Talent Acquisition"", ""Onboarding"", ""Performance Management"", ""Payroll"", ""HRIS"", ""Recruitment""]","Talent Acquisition Specialist at Trailhead Digital

We are looking for a Talent Acquisition Specialist to join our Human Resources team. The ideal candidate has at least 1 years of relevant experience.

Required Skills: Employee Relations, Labor Law, Talent Acquisition, Onboarding, Performance Management, Payroll, HRIS, Recruitment

Responsibilities include applying the above skills to real-world human resources problems and collaborating with cross-functional teams."
J0026,Finance Manager,Finance,1,"[""Accounting"", ""Auditing"", ""Risk Management"", ""Financial Modeling"", ""Forecasting"", ""QuickBooks"", ""Financial Analysis"", ""Budgeting""]","Finance Manager at BluePeak Solutions

We are looking for a Finance Manager to join our Finance team. The ideal candidate has at least 1 years of relevant experience.

Required Skills: Accounting, Auditing, Risk Management, Financial Modeling, Forecasting, QuickBooks, Financial Analysis, Budgeting

Responsibilities include applying the above skills to real-world finance problems and collaborating with cross-functional teams."
J0027,Backend Developer,Web Development,1,"[""Next.js"", ""React"", ""HTML"", ""Node.js"", ""MongoDB"", ""TypeScript"", ""JavaScript""]","Backend Developer at Novatrail Consulting

We are looking for a Backend Developer to join our Web Development team. The ideal candidate has at least 1 years of relevant experience.

Required Skills: Next.js, React, HTML, Node.js, MongoDB, TypeScript, JavaScript

Responsibilities include applying the above skills to real-world web development problems and collaborating with cross-functional teams."
J0028,Backend Developer,Web Development,5,"[""JavaScript"", ""REST API"", ""React"", ""Node.js"", ""CSS"", ""Next.js"", ""Express.js""]","Backend Developer at Novatrail Consulting

We are looking for a Backend Developer to join our Web Development team. The ideal candidate has at least 5 years of relevant experience.

Required Skills: JavaScript, REST API, React, Node.js, CSS, Next.js, Express.js

Responsibilities include applying the above skills to real-world web development problems and collaborating with cross-functional teams."
J0029,Machine Learning Engineer,Data Science,1,"[""PyTorch"", ""Data Visualization"", ""SQL"", ""Pandas"", ""Statistics""]","Machine Learning Engineer at Sundial HR Group

We are looking for a Machine Learning Engineer to join our Data Science team. The ideal candidate has at least 1 years of relevant experience.

Required Skills: PyTorch, Data Visualization, SQL, Pandas, Statistics

Responsibilities include applying the above skills to real-world data science problems and collaborating with cross-functional teams."
J0030,Frontend Engineer,Web Development,1,"[""MongoDB"", ""Node.js"", ""JavaScript"", ""CSS"", ""Express.js"", ""REST API""]","Frontend Engineer at Verdant Analytics

We are looking for a Frontend Engineer to join our Web Development team. The ideal candidate has at least 1 years of relevant experience.

Required Skills: MongoDB, Node.js, JavaScript, CSS, Express.js, REST API

Responsibilities include applying the above skills to real-world web development problems and collaborating with cross-functional teams."
J0031,Data Analyst,Data Science,3,"[""SQL"", ""NumPy"", ""Python"", ""Pandas"", ""Natural Language Processing"", ""Machine Learning""]","Data Analyst at Harborline Financial

We are looking for a Data Analyst to join our Data Science team. The ideal candidate has at least 3 years of relevant experience.

Required Skills: SQL, NumPy, Python, Pandas, Natural Language Processing, Machine Learning

Responsibilities include applying the above skills to real-world data science problems and collaborating with cross-functional teams."
J0032,Talent Acquisition Specialist,Human Resources,3,"[""Recruitment"", ""Employee Relations"", ""Talent Acquisition"", ""Labor Law"", ""Onboarding""]","Talent Acquisition Specialist at Verdant Analytics

We are looking for a Talent Acquisition Specialist to join our Human Resources team. The ideal candidate has at least 3 years of relevant experience.

Required Skills: Recruitment, Employee Relations, Talent Acquisition, Labor Law, Onboarding

Responsibilities include applying the above skills to real-world human resources problems and collaborating with cross-functional teams."
J0033,Data Analyst,Data Science,0,"[""Pandas"", ""Machine Learning"", ""SQL"", ""Natural Language Processing"", ""PyTorch"", ""Deep Learning"", ""NumPy"", ""Python""]","Data Analyst at Meridian Softworks

We are looking for a Data Analyst to join our Data Science team. The ideal candidate has at least 0 years of relevant experience.

Required Skills: Pandas, Machine Learning, SQL, Natural Language Processing, PyTorch, Deep Learning, NumPy, Python

Responsibilities include applying the above skills to real-world data science problems and collaborating with cross-functional teams."
J0034,HR Business Partner,Human Resources,2,"[""Labor Law"", ""Recruitment"", ""Employee Relations"", ""Payroll"", ""Talent Acquisition"", ""Onboarding""]","HR Business Partner at Orbitline Technologies

We are looking for a HR Business Partner to join our Human Resources team. The ideal candidate has at least 2 years of relevant experience.

Required Skills: Labor Law, Recruitment, Employee Relations, Payroll, Talent Acquisition, Onboarding

Responsibilities include applying the above skills to real-world human resources problems and collaborating with cross-functional teams."
J0035,Accounts Executive,Finance,5,"[""QuickBooks"", ""Budgeting"", ""Financial Analysis"", ""Accounting"", ""Auditing"", ""Excel"", ""Risk Management"", ""Forecasting""]","Accounts Executive at Novatrail Consulting

We are looking for a Accounts Executive to join our Finance team. The ideal candidate has at least 5 years of relevant experience.

Required Skills: QuickBooks, Budgeting, Financial Analysis, Accounting, Auditing, Excel, Risk Management, Forecasting

Responsibilities include applying the above skills to real-world finance problems and collaborating with cross-functional teams."
J0036,DevOps Engineer,DevOps,0,"[""Kubernetes"", ""AWS"", ""Ansible"", ""Docker"", ""Azure"", ""Jenkins"", ""CI/CD"", ""GCP""]","DevOps Engineer at Orbitline Technologies

We are looking for a DevOps Engineer to join our DevOps team. The ideal candidate has at least 0 years of relevant experience.

Required Skills: Kubernetes, AWS, Ansible, Docker, Azure, Jenkins, CI/CD, GCP

Responsibilities include applying the above skills to real-world devops problems and collaborating with cross-functional teams."
J0037,HR Executive,Human Resources,2,"[""Onboarding"", ""Performance Management"", ""Payroll"", ""Employee Relations"", ""Labor Law"", ""Recruitment"", ""HRIS""]","HR Executive at BluePeak Solutions

We are looking for a HR Executive to join our Human Resources team. The ideal candidate has at least 2 years of relevant experience.

Required Skills: Onboarding, Performance Management, Payroll, Employee Relations, Labor Law, Recruitment, HRIS

Responsibilities include applying the above skills to real-world human resources problems and collaborating with cross-functional teams."
J0038,Accounts Executive,Finance,1,"[""Forecasting"", ""QuickBooks"", ""Auditing"", ""Financial Modeling"", ""Financial Analysis"", ""Accounting"", ""Excel""]","Accounts Executive at Trailhead Digital

We are looking for a Accounts Executive to join our Finance team. The ideal candidate has at least 1 years of relevant experience.

Required Skills: Forecasting, QuickBooks, Auditing, Financial Modeling, Financial Analysis, Accounting, Excel

Responsibilities include applying the above skills to real-world finance problems and collaborating with cross-functional teams."
J0039,Cloud Infrastructure Engineer,DevOps,2,"[""CI/CD"", ""Linux"", ""AWS"", ""Azure"", ""Kubernetes"", ""Jenkins""]","Cloud Infrastructure Engineer at Orbitline Technologies

We are looking for a Cloud Infrastructure Engineer to join our DevOps team. The ideal candidate has at least 2 years of relevant experience.

Required Skills: CI/CD, Linux, AWS, Azure, Kubernetes, Jenkins

Responsibilities include applying the above skills to real-world devops problems and collaborating with cross-functional teams."
J0040,Financial Analyst,Finance,2,"[""Financial Analysis"", ""Risk Management"", ""Budgeting"", ""Excel"", ""Accounting"", ""SAP"", ""Forecasting"", ""QuickBooks""]","Financial Analyst at Corestack Labs

We are looking for a Financial Analyst to join our Finance team. The ideal candidate has at least 2 years of relevant experience.

Required Skills: Financial Analysis, Risk Management, Budgeting, Excel, Accounting, SAP, Forecasting, QuickBooks

Responsibilities include applying the above skills to real-world finance problems and collaborating with cross-functional teams."
J0041,Site Reliability Engineer,DevOps,3,"[""Ansible"", ""Jenkins"", ""Linux"", ""Azure"", ""CI/CD"", ""Terraform"", ""Docker""]","Site Reliability Engineer at Nimbus Systems

We are looking for a Site Reliability Engineer to join our DevOps team. The ideal candidate has at least 3 years of relevant experience.

Required Skills: Ansible, Jenkins, Linux, Azure, CI/CD, Terraform, Docker

Responsibilities include applying the above skills to real-world devops problems and collaborating with cross-functional teams."
J0042,DevOps Engineer,DevOps,2,"[""Ansible"", ""Jenkins"", ""Docker"", ""Linux"", ""Terraform"", ""Kubernetes""]","DevOps Engineer at Trailhead Digital

We are looking for a DevOps Engineer to join our DevOps team. The ideal candidate has at least 2 years of relevant experience.

Required Skills: Ansible, Jenkins, Docker, Linux, Terraform, Kubernetes

Responsibilities include applying the above skills to real-world devops problems and collaborating with cross-functional teams."
J0043,DevOps Engineer,DevOps,5,"[""Docker"", ""Terraform"", ""Linux"", ""Ansible"", ""CI/CD"", ""AWS"", ""Kubernetes""]","DevOps Engineer at Harborline Financial

We are looking for a DevOps Engineer to join our DevOps team. The ideal candidate has at least 5 years of relevant experience.

Required Skills: Docker, Terraform, Linux, Ansible, CI/CD, AWS, Kubernetes

Responsibilities include applying the above skills to real-world devops problems and collaborating with cross-functional teams."
J0044,HR Business Partner,Human Resources,3,"[""Onboarding"", ""Recruitment"", ""Labor Law"", ""Talent Acquisition"", ""Employee Relations"", ""Payroll"", ""HRIS""]","HR Business Partner at Harborline Financial

We are looking for a HR Business Partner to join our Human Resources team. The ideal candidate has at least 3 years of relevant experience.

Required Skills: Onboarding, Recruitment, Labor Law, Talent Acquisition, Employee Relations, Payroll, HRIS

Responsibilities include applying the above skills to real-world human resources problems and collaborating with cross-functional teams."
J0045,Data Analyst,Data Science,2,"[""Natural Language Processing"", ""PyTorch"", ""Pandas"", ""NumPy"", ""TensorFlow"", ""Python"", ""Statistics"", ""Scikit-learn""]","Data Analyst at Quantwave Inc

We are looking for a Data Analyst to join our Data Science team. The ideal candidate has at least 2 years of relevant experience.

Required Skills: Natural Language Processing, PyTorch, Pandas, NumPy, TensorFlow, Python, Statistics, Scikit-learn

Responsibilities include applying the above skills to real-world data science problems and collaborating with cross-functional teams."
J0046,Accounts Executive,Finance,1,"[""Auditing"", ""Budgeting"", ""Excel"", ""SAP"", ""Financial Analysis"", ""Financial Modeling"", ""Accounting""]","Accounts Executive at Meridian Softworks

We are looking for a Accounts Executive to join our Finance team. The ideal candidate has at least 1 years of relevant experience.

Required Skills: Auditing, Budgeting, Excel, SAP, Financial Analysis, Financial Modeling, Accounting

Responsibilities include applying the above skills to real-world finance problems and collaborating with cross-functional teams."
J0047,Backend Developer,Web Development,2,"[""Next.js"", ""HTML"", ""React"", ""Express.js"", ""MongoDB"", ""Node.js"", ""CSS""]","Backend Developer at Novatrail Consulting

We are looking for a Backend Developer to join our Web Development team. The ideal candidate has at least 2 years of relevant experience.

Required Skills: Next.js, HTML, React, Express.js, MongoDB, Node.js, CSS

Responsibilities include applying the above skills to real-world web development problems and collaborating with cross-functional teams."
J0048,Machine Learning Engineer,Data Science,1,"[""Machine Learning"", ""Scikit-learn"", ""Statistics"", ""PyTorch"", ""Pandas"", ""Natural Language Processing""]","Machine Learning Engineer at Falconbyte

We are looking for a Machine Learning Engineer to join our Data Science team. The ideal candidate has at least 1 years of relevant experience.

Required Skills: Machine Learning, Scikit-learn, Statistics, PyTorch, Pandas, Natural Language Processing

Responsibilities include applying the above skills to real-world data science problems and collaborating with cross-functional teams."
J0049,HR Executive,Human Resources,3,"[""Talent Acquisition"", ""Onboarding"", ""Labor Law"", ""Employee Relations"", ""HRIS"", ""Payroll"", ""Recruitment""]","HR Executive at Verdant Analytics

We are looking for a HR Executive to join our Human Resources team. The ideal candidate has at least 3 years of relevant experience.

Required Skills: Talent Acquisition, Onboarding, Labor Law, Employee Relations, HRIS, Payroll, Recruitment

Responsibilities include applying the above skills to real-world human resources problems and collaborating with cross-functional teams."
J0050,HR Business Partner,Human Resources,0,"[""Labor Law"", ""Performance Management"", ""Recruitment"", ""HRIS"", ""Talent Acquisition"", ""Employee Relations"", ""Onboarding"", ""Payroll""]","HR Business Partner at Meridian Softworks

We are looking for a HR Business Partner to join our Human Resources team. The ideal candidate has at least 0 years of relevant experience.

Required Skills: Labor Law, Performance Management, Recruitment, HRIS, Talent Acquisition, Employee Relations, Onboarding, Payroll

Responsibilities include applying the above skills to real-world human resources problems and collaborating with cross-functional teams."
J0051,Accounts Executive,Finance,5,"[""QuickBooks"", ""Auditing"", ""Budgeting"", ""Financial Analysis"", ""Accounting"", ""Financial Modeling"", ""Risk Management""]","Accounts Executive at Verdant Analytics

We are looking for a Accounts Executive to join our Finance team. The ideal candidate has at least 5 years of relevant experience.

Required Skills: QuickBooks, Auditing, Budgeting, Financial Analysis, Accounting, Financial Modeling, Risk Management

Responsibilities include applying the above skills to real-world finance problems and collaborating with cross-functional teams."
J0052,Data Scientist,Data Science,3,"[""SQL"", ""Machine Learning"", ""Data Visualization"", ""PyTorch"", ""Pandas"", ""TensorFlow""]","Data Scientist at Trailhead Digital

We are looking for a Data Scientist to join our Data Science team. The ideal candidate has at least 3 years of relevant experience.

Required Skills: SQL, Machine Learning, Data Visualization, PyTorch, Pandas, TensorFlow

Responsibilities include applying the above skills to real-world data science problems and collaborating with cross-functional teams."
J0053,Cloud Infrastructure Engineer,DevOps,3,"[""Ansible"", ""AWS"", ""Terraform"", ""Docker"", ""Kubernetes"", ""Jenkins"", ""Azure"", ""GCP""]","Cloud Infrastructure Engineer at Sundial HR Group

We are looking for a Cloud Infrastructure Engineer to join our DevOps team. The ideal candidate has at least 3 years of relevant experience.

Required Skills: Ansible, AWS, Terraform, Docker, Kubernetes, Jenkins, Azure, GCP

Responsibilities include applying the above skills to real-world devops problems and collaborating with cross-functional teams."
J0054,Machine Learning Engineer,Data Science,2,"[""Data Visualization"", ""NumPy"", ""Python"", ""TensorFlow"", ""Natural Language Processing"", ""PyTorch"", ""Machine Learning"", ""Deep Learning""]","Machine Learning Engineer at Orbitline Technologies

We are looking for a Machine Learning Engineer to join our Data Science team. The ideal candidate has at least 2 years of relevant experience.

Required Skills: Data Visualization, NumPy, Python, TensorFlow, Natural Language Processing, PyTorch, Machine Learning, Deep Learning

Responsibilities include applying the above skills to real-world data science problems and collaborating with cross-functional teams."
J0055,Full Stack Developer,Web Development,1,"[""Express.js"", ""MongoDB"", ""HTML"", ""REST API"", ""CSS"", ""Node.js"", ""React""]","Full Stack Developer at Orbitline Technologies

We are looking for a Full Stack Developer to join our Web Development team. The ideal candidate has at least 1 years of relevant experience.

Required Skills: Express.js, MongoDB, HTML, REST API, CSS, Node.js, React

Responsibilities include applying the above skills to real-world web development problems and collaborating with cross-functional teams."
J0056,Site Reliability Engineer,DevOps,2,"[""Kubernetes"", ""Docker"", ""Azure"", ""Linux"", ""GCP"", ""Jenkins""]","Site Reliability Engineer at Verdant Analytics

We are looking for a Site Reliability Engineer to join our DevOps team. The ideal candidate has at least 2 years of relevant experience.

Required Skills: Kubernetes, Docker, Azure, Linux, GCP, Jenkins

Responsibilities include applying the above skills to real-world devops problems and collaborating with cross-functional teams."
J0057,DevOps Engineer,DevOps,2,"[""CI/CD"", ""GCP"", ""Jenkins"", ""Kubernetes"", ""Azure"", ""AWS""]","DevOps Engineer at BluePeak Solutions

We are looking for a DevOps Engineer to join our DevOps team. The ideal candidate has at least 2 years of relevant experience.

Required Skills: CI/CD, GCP, Jenkins, Kubernetes, Azure, AWS

Responsibilities include applying the above skills to real-world devops problems and collaborating with cross-functional teams."
J0058,Data Analyst,Data Science,1,"[""PyTorch"", ""Machine Learning"", ""TensorFlow"", ""Python"", ""Natural Language Processing"", ""Data Visualization""]","Data Analyst at Sundial HR Group

We are looking for a Data Analyst to join our Data Science team. The ideal candidate has at least 1 years of relevant experience.

Required Skills: PyTorch, Machine Learning, TensorFlow, Python, Natural Language Processing, Data Visualization

Responsibilities include applying the above skills to real-world data science problems and collaborating with cross-functional teams."
J0059,Talent Acquisition Specialist,Human Resources,0,"[""Labor Law"", ""Payroll"", ""Performance Management"", ""Onboarding"", ""HRIS""]","Talent Acquisition Specialist at Harborline Financial

We are looking for a Talent Acquisition Specialist to join our Human Resources team. The ideal candidate has at least 0 years of relevant experience.

Required Skills: Labor Law, Payroll, Performance Management, Onboarding, HRIS

Responsibilities include applying the above skills to real-world human resources problems and collaborating with cross-functional teams."
J0060,Data Scientist,Data Science,3,"[""SQL"", ""Data Visualization"", ""Natural Language Processing"", ""Machine Learning"", ""Deep Learning"", ""TensorFlow""]","Data Scientist at Verdant Analytics

We are looking for a Data Scientist to join our Data Science team. The ideal candidate has at least 3 years of relevant experience.

Required Skills: SQL, Data Visualization, Natural Language Processing, Machine Learning, Deep Learning, TensorFlow

Responsibilities include applying the above skills to real-world data science problems and collaborating with cross-functional teams."
J0061,Finance Manager,Finance,5,"[""Forecasting"", ""Risk Management"", ""SAP"", ""Excel"", ""Financial Modeling"", ""Budgeting"", ""Accounting""]","Finance Manager at Corestack Labs

We are looking for a Finance Manager to join our Finance team. The ideal candidate has at least 5 years of relevant experience.

Required Skills: Forecasting, Risk Management, SAP, Excel, Financial Modeling, Budgeting, Accounting

Responsibilities include applying the above skills to real-world finance problems and collaborating with cross-functional teams."
